policy_id,customer_id,customer_age,customer_gender,marital_status,num_dependents,country,income_band,product_type,coverage_amount,premium,payment_frequency,policy_start_date,policy_end_date,tenure_months,renewal_count,acquisition_channel,agent_id,discount_applied,discount_rate,has_rider,num_riders,critical_illness_rider,disability_rider,late_payment_count,customer_service_calls,beneficiary_updated,premium_change_pct,churned,churn_reason,snapshot_date,data_version
P000035,C000189,52,F,Divorced,1,FR,High,Universal,386000,334.62,Annual,15/09/2023,,9,0,Bank,,FALSE,,FALSE,0,FALSE,FALSE,2,0,FALSE,-0.01,FALSE,,30/06/2024,v1.0
P000036,C002734,42,F,Married,0,US,Mid,Universal,163000,184.68,Monthly,27/06/2017,,85,7,Agent,A1093,FALSE,,FALSE,0,FALSE,FALSE,0,0,FALSE,0.14,FALSE,,30/06/2024,v1.0
P000037,C000562,34,M,Widowed,2,DE,Mid,Term,337000,202.78,Monthly,26/12/2014,,115,9,Online,,FALSE,,FALSE,0,FALSE,FALSE,1,0,FALSE,-0.04,FALSE,,30/06/2024,v1.0
P000038,C001899,55,M,Single,1,US,Mid,Whole,59000,73.49,Annual,30/06/2021,,36,3,Online,,TRUE,0.25,TRUE,1,TRUE,FALSE,0,0,TRUE,-0.09,FALSE,,30/06/2024,v1.0
P000039,C001267,53,F,Single,0,FR,Low,Universal,65000,67.4,Quarterly,07/05/2019,,62,5,Employer,,FALSE,,TRUE,0,FALSE,FALSE,0,2,FALSE,0.01,FALSE,,30/06/2024,v1.0
P000040,C002879,34,M,Married,1,IT,Mid,Whole,209000,305.2,Monthly,29/07/2015,,108,9,Agent,A1064,FALSE,,FALSE,0,FALSE,FALSE,0,0,FALSE,-0.01,FALSE,,30/06/2024,v1.0
P000041,C001528,61,M,Married,1,US,Mid,Term,312000,153.3,Annual,05/10/2017,,82,6,Employer,,FALSE,,FALSE,0,FALSE,FALSE,2,0,TRUE,0.1,FALSE,,30/06/2024,v1.0
P000042,C000646,59,F,Married,0,US,Mid,Universal,120000,107.89,Annual,23/10/2018,,69,5,Bank,,FALSE,,FALSE,0,FALSE,FALSE,0,1,FALSE,0.05,FALSE,,30/06/2024,v1.0
P000043,C002068,46,M,Married,1,US,High,Term,122000,92.24,Monthly,02/12/2018,,67,5,Online,,FALSE,,FALSE,0,FALSE,FALSE,1,1,TRUE,0.05,FALSE,,30/06/2024,v1.0
P000044,C002888,45,M,Single,1,US,Mid,Term,196000,117.72,Quarterly,27/02/2023,,16,1,Bank,,FALSE,,FALSE,0,FALSE,FALSE,0,1,FALSE,0.07,FALSE,,30/06/2024,v1.0
P000045,C002214,51,M,Married,1,US,Low,Universal,128000,123.13,Quarterly,17/12/2018,,67,5,Online,,TRUE,0.07,TRUE,1,FALSE,TRUE,0,1,FALSE,0.14,FALSE,,30/06/2024,v1.0
P000046,C001297,34,M,Married,2,DE,Mid,Term,401000,350.74,Monthly,30/01/2010,,175,14,Agent,A1060,FALSE,,FALSE,0,FALSE,FALSE,0,0,FALSE,0.01,FALSE,,30/06/2024,v1.0
P000047,C002435,45,F,Married,2,US,High,Whole,225000,233.21,Quarterly,03/06/2020,,49,4,Online,,TRUE,0.08,FALSE,0,FALSE,FALSE,0,1,FALSE,-0.07,FALSE,,30/06/2024,v1.0
P000048,C000600,19,F,Married,0,US,Mid,Term,839000,528.41,Annual,09/11/2018,,68,5,Agent,A1039,FALSE,,FALSE,0,FALSE,FALSE,0,2,FALSE,-0.02,FALSE,,30/06/2024,v1.0
P000049,C002363,55,F,Married,1,DE,,Whole,234000,344.76,Quarterly,13/06/2011,,158,13,Online,,TRUE,0.15,TRUE,1,FALSE,FALSE,0,1,TRUE,0.09,FALSE,,30/06/2024,v1.0
P000050,C002061,26,F,Single,1,DE,Mid,Term,115000,60.2,Quarterly,25/08/2017,,83,6,Agent,A1090,TRUE,0.07,FALSE,0,FALSE,FALSE,2,0,TRUE,0.18,FALSE,,30/06/2024,v1.0
P000051,C000241,63,M,Single,1,US,Low,Term,160000,122.6,Monthly,11/02/2014,,126,10,Agent,A1068,FALSE,,FALSE,0,FALSE,FALSE,0,0,FALSE,0.07,FALSE,,30/06/2024,v1.0
P000052,C002041,41,M,Married,1,DE,Low,Term,323000,203.82,Quarterly,11/03/2012,,149,12,Online,,FALSE,,TRUE,2,FALSE,FALSE,0,0,FALSE,0.07,FALSE,,30/06/2024,v1.0
P000053,C002824,42,M,Single,2,ES,Mid,Term,134000,111.33,Monthly,24/01/2012,,151,12,Agent,A1075,FALSE,,FALSE,0,FALSE,FALSE,0,1,FALSE,0.03,FALSE,,30/06/2024,v1.0
P000054,C002612,37,M,Married,1,US,Low,Term,21000,15.57,Monthly,11/08/2020,,47,3,Agent,A1039,FALSE,,TRUE,0,TRUE,TRUE,1,0,FALSE,0.14,FALSE,,30/06/2024,v1.0
P000055,C002945,41,U,Divorced,1,US,Mid,Term,108000,95.42,Monthly,11/02/2012,,150,12,Online,,TRUE,0.09,FALSE,0,FALSE,FALSE,0,0,FALSE,0.04,FALSE,,30/06/2024,v1.0
P000056,C001363,62,F,Married,1,DE,High,Universal,30000,32.1,Quarterly,18/08/2022,,22,1,Agent,A1057,TRUE,0.15,FALSE,0,FALSE,FALSE,0,0,FALSE,-0.08,FALSE,,30/06/2024,v1.0
P000057,C002139,18,M,Single,1,DE,Mid,Term,215000,170.68,Monthly,30/04/2013,,135,11,Online,,FALSE,,FALSE,0,FALSE,FALSE,1,0,FALSE,-0.06,FALSE,,30/06/2024,v1.0
P000058,C001390,60,M,Widowed,1,US,Mid,Term,68000,48,Annual,10/12/2017,,79,6,Agent,A1066,FALSE,,FALSE,0,FALSE,FALSE,1,0,FALSE,-0.02,FALSE,,30/06/2024,v1.0
P000059,C001478,49,M,Single,1,US,Mid,Term,155000,104.95,Quarterly,19/07/2015,01/10/2018,39,3,Bank,,FALSE,,TRUE,0,FALSE,FALSE,1,0,FALSE,-0.12,TRUE,Life Event,30/06/2024,v1.0
P000060,C002556,30,M,Single,2,FR,Low,Universal,54000,54.49,Monthly,27/04/2017,,87,7,Agent,A1086,FALSE,,TRUE,1,FALSE,FALSE,0,0,FALSE,0.17,FALSE,,30/06/2024,v1.0
P000061,C000775,32,M,Married,2,ES,Mid,Whole,198000,219.65,Annual,04/01/2022,,30,2,Agent,A1094,TRUE,0.21,TRUE,3,FALSE,FALSE,0,1,TRUE,0.04,FALSE,,30/06/2024,v1.0
P000062,C000034,65,F,Married,2,FR,,Whole,237000,294.26,Monthly,25/06/2018,04/01/2028,116,9,Online,,FALSE,,FALSE,0,FALSE,FALSE,0,2,TRUE,0.04,TRUE,Price,30/06/2024,v1.0
P000063,C002253,33,F,Single,3,ES,,Term,106000,61.58,Quarterly,14/01/2023,04/10/2030,94,7,Online,,FALSE,,FALSE,0,FALSE,FALSE,1,0,TRUE,0.04,TRUE,Unknown,30/06/2024,v1.0
P000064,C001955,31,F,Married,5,UK,Low,Term,145000,93.83,Monthly,25/04/2021,,38,3,Agent,A1036,FALSE,,FALSE,0,FALSE,FALSE,1,0,TRUE,0.04,FALSE,,30/06/2024,v1.0
P000065,C001585,58,M,Married,0,IT,High,Term,46000,23.52,Annual,13/10/2011,,154,12,Online,,FALSE,,FALSE,0,FALSE,FALSE,1,0,FALSE,0.08,FALSE,,30/06/2024,v1.0
P000066,C001021,49,M,Single,1,DE,Mid,Whole,217000,284.92,Monthly,15/10/2015,,106,8,Bank,,FALSE,,FALSE,0,FALSE,FALSE,0,1,TRUE,0.04,FALSE,,30/06/2024,v1.0
P000067,C002613,33,F,Single,0,IT,Low,Term,96000,74.13,Monthly,08/11/2013,,129,10,Agent,A1036,FALSE,,FALSE,0,FALSE,FALSE,1,0,FALSE,0.17,FALSE,,30/06/2024,v1.0
P000068,C001129,47,F,Married,1,US,High,Whole,223000,222.36,Monthly,07/02/2024,,4,0,Agent,A1038,FALSE,,TRUE,0,FALSE,FALSE,0,0,TRUE,0.11,FALSE,,30/06/2024,v1.0
P000069,C001500,32,F,Married,2,FR,High,Term,138000,123.09,Monthly,06/02/2011,,163,13,Online,,FALSE,,FALSE,0,FALSE,FALSE,0,0,FALSE,-0.02,FALSE,,30/06/2024,v1.0
P000070,C000702,58,F,Single,1,US,Mid,Term,127000,114.12,Monthly,29/02/2016,,101,8,Bank,,TRUE,0.19,FALSE,0,FALSE,FALSE,0,1,TRUE,-0.03,FALSE,,30/06/2024,v1.0
P000071,C002449,57,F,Single,2,US,Mid,Term,110000,82.11,Monthly,07/01/2024,,5,0,Online,,FALSE,,FALSE,0,FALSE,FALSE,0,3,FALSE,-0.04,FALSE,,30/06/2024,v1.0
P000072,C002777,51,F,Married,0,UK,Ultra,Term,182000,144.14,Quarterly,26/02/2019,,65,5,Online,,FALSE,,FALSE,0,FALSE,FALSE,0,1,FALSE,0.01,FALSE,,30/06/2024,v1.0
P000073,C001579,49,M,Divorced,1,US,High,Term,482000,283.37,Annual,21/03/2018,,76,6,Agent,A1051,FALSE,,FALSE,0,FALSE,FALSE,2,1,FALSE,0.03,FALSE,,30/06/2024,v1.0
P000074,C000161,66,F,Single,1,US,Mid,Term,137000,73.41,Quarterly,22/12/2019,,55,4,Bank,,FALSE,,TRUE,1,FALSE,FALSE,1,0,FALSE,-0.02,FALSE,,30/06/2024,v1.0
P000075,C000201,44,M,Married,1,ES,Mid,Term,219000,165.29,Monthly,31/01/2019,04/02/2024,61,5,Bank,,FALSE,,FALSE,0,FALSE,FALSE,1,2,FALSE,0.11,TRUE,Price,30/06/2024,v1.0
P000076,C001981,30,M,Single,2,DE,Low,Whole,628000,781.76,Monthly,28/02/2014,,125,10,Online,,FALSE,,TRUE,4,FALSE,FALSE,0,0,FALSE,-0.03,FALSE,,30/06/2024,v1.0
P000077,C000995,50,F,Single,3,IT,Low,Term,199000,159.17,Monthly,18/04/2018,,75,6,Agent,A1023,FALSE,,FALSE,0,FALSE,FALSE,1,1,FALSE,0.05,FALSE,,30/06/2024,v1.0
P000078,C002317,70,M,Single,0,ES,Low,Term,254000,216.23,Monthly,24/01/2023,,17,1,Agent,A1065,TRUE,0.09,FALSE,0,FALSE,FALSE,1,0,TRUE,0.05,FALSE,,30/06/2024,v1.0
P000079,C000815,32,M,Married,0,US,Low,Term,82000,66.89,Quarterly,14/09/2018,,70,5,Agent,A1034,FALSE,,FALSE,0,FALSE,FALSE,0,0,FALSE,0.06,FALSE,,30/06/2024,v1.0
P000080,C000455,40,M,Married,2,US,Mid,Term,193000,115.03,Quarterly,04/09/2015,,107,8,Agent,A1097,TRUE,0.07,TRUE,0,FALSE,TRUE,1,0,FALSE,-0.04,FALSE,,30/06/2024,v1.0
P000081,C001275,49,M,Divorced,1,US,Low,Term,192000,191.75,Monthly,17/05/2022,,25,2,Agent,A1001,FALSE,,TRUE,2,FALSE,FALSE,0,1,FALSE,0.3,FALSE,,30/06/2024,v1.0
P000082,C001016,44,M,Married,0,UK,High,Term,520000,281.07,Annual,15/06/2019,,61,5,Agent,A1011,TRUE,0.17,FALSE,0,FALSE,FALSE,1,0,FALSE,0,FALSE,,30/06/2024,v1.0
P000083,C002343,33,M,Divorced,1,UK,Mid,Term,63000,48.54,Monthly,10/07/2020,,48,4,Agent,A1001,TRUE,0.19,FALSE,0,FALSE,FALSE,1,1,FALSE,0.04,FALSE,,30/06/2024,v1.0
P000084,C002767,58,M,Single,0,US,Mid,Term,687000,510.53,Quarterly,05/05/2018,,74,6,Employer,,FALSE,,FALSE,0,FALSE,FALSE,0,2,FALSE,-0.16,FALSE,,30/06/2024,v1.0
P000085,C000337,72,M,Single,2,US,Low,Whole,470000,599.12,Monthly,23/06/2017,,85,7,Online,,TRUE,0.17,TRUE,0,TRUE,TRUE,0,0,FALSE,0.13,FALSE,,30/06/2024,v1.0
P000086,C000878,47,U,Widowed,2,US,Mid,Whole,413000,374.01,Monthly,24/03/2013,,137,11,Online,,FALSE,,FALSE,0,FALSE,FALSE,0,1,FALSE,-0.02,FALSE,,30/06/2024,v1.0
P000087,C001076,34,M,Married,1,US,Low,Term,67000,38.1,Quarterly,04/05/2011,,160,13,Online,,FALSE,,FALSE,0,FALSE,FALSE,1,0,TRUE,-0.01,FALSE,,30/06/2024,v1.0
P000088,C000791,26,M,Divorced,2,US,Mid,Term,80000,53.16,Quarterly,07/09/2019,,58,4,Online,,FALSE,,FALSE,0,FALSE,FALSE,0,1,FALSE,0.19,FALSE,,30/06/2024,v1.0
P000089,C002264,48,F,Single,1,IT,Mid,Term,232000,184.26,Monthly,19/04/2010,,172,14,Agent,A1058,FALSE,,FALSE,0,FALSE,FALSE,0,1,FALSE,0.14,FALSE,,30/06/2024,v1.0
P000090,C000763,58,F,Married,1,US,Mid,Term,35000,22.97,Monthly,26/07/2019,,60,5,Agent,A1032,FALSE,,TRUE,2,FALSE,FALSE,0,1,FALSE,0.09,FALSE,,30/06/2024,v1.0
P000091,C002235,50,F,Married,2,US,Mid,Term,52000,42.69,Monthly,21/08/2019,,59,4,Agent,A1053,FALSE,,FALSE,0,FALSE,FALSE,1,3,FALSE,0.13,FALSE,,30/06/2024,v1.0
P000092,C000379,44,M,Single,1,US,Mid,Term,262000,213.58,Monthly,22/10/2018,,69,5,Agent,A1076,FALSE,,FALSE,0,FALSE,FALSE,1,0,TRUE,-0.01,FALSE,,30/06/2024,v1.0
P000093,C000492,37,F,Married,2,FR,High,Whole,483000,697.78,Monthly,02/05/2012,,148,12,Agent,A1030,FALSE,,TRUE,1,TRUE,FALSE,0,0,FALSE,0.1,FALSE,,30/06/2024,v1.0
P000094,C001180,31,F,Married,1,US,Low,Term,672000,512.58,Monthly,10/07/2016,,97,8,Bank,,TRUE,0.13,FALSE,0,FALSE,FALSE,0,1,FALSE,0.07,FALSE,,30/06/2024,v1.0
P000095,C002062,55,F,Single,1,US,Ultra,Whole,166000,206.71,Monthly,13/02/2020,,53,4,Agent,A1018,FALSE,,FALSE,0,FALSE,FALSE,0,0,FALSE,0.04,FALSE,,30/06/2024,v1.0
P000096,C000064,55,F,Single,3,UK,Mid,Whole,114000,160.67,Monthly,08/12/2022,,19,1,Agent,A1024,FALSE,,FALSE,0,FALSE,FALSE,1,0,FALSE,0.03,FALSE,,30/06/2024,v1.0
P000097,C002568,26,F,Single,1,IT,Mid,Whole,123000,158.99,Monthly,13/07/2020,,48,4,Agent,A1062,TRUE,0.22,TRUE,1,TRUE,FALSE,0,0,FALSE,0.11,FALSE,,30/06/2024,v1.0
P000098,C001367,64,F,Single,0,IT,Mid,Universal,206000,269.77,Monthly,10/06/2022,,25,2,Online,,TRUE,0.06,TRUE,0,TRUE,FALSE,1,2,TRUE,0.12,FALSE,,30/06/2024,v1.0
P000099,C001152,51,F,Married,1,US,Mid,Term,130000,83.65,Monthly,14/07/2021,,36,3,Online,,FALSE,,TRUE,2,TRUE,FALSE,1,1,FALSE,0.05,FALSE,,30/06/2024,v1.0
P000100,C002027,61,M,Single,1,DE,Ultra,Term,58000,55,Monthly,01/10/2012,24/05/2014,20,1,Agent,A1036,FALSE,,TRUE,1,FALSE,FALSE,1,0,FALSE,-0.02,TRUE,Replacement,30/06/2024,v1.0
P000101,C002695,28,F,Single,4,US,Low,Whole,303000,395.44,Quarterly,03/05/2011,,160,13,Agent,A1096,FALSE,,TRUE,1,FALSE,FALSE,1,1,FALSE,-0.16,FALSE,,30/06/2024,v1.0
P000102,C001495,28,F,Divorced,1,US,Mid,Term,73000,56.38,Monthly,27/10/2018,,69,5,Agent,A1042,FALSE,,TRUE,3,FALSE,FALSE,1,0,FALSE,0.11,FALSE,,30/06/2024,v1.0
P000103,C001162,43,M,Married,0,US,Low,Universal,253000,285.74,Monthly,19/04/2017,,87,7,Agent,A1002,FALSE,,TRUE,2,FALSE,TRUE,1,1,FALSE,0.09,FALSE,,30/06/2024,v1.0
P000104,C001522,51,U,Married,2,US,Low,Term,246000,156.39,Annual,16/09/2021,,33,2,Bank,,TRUE,0.07,FALSE,0,FALSE,FALSE,0,2,FALSE,0.09,FALSE,,30/06/2024,v1.0
P000105,C002640,66,M,Married,2,FR,Mid,Term,122000,93.16,Monthly,15/07/2013,,133,11,Employer,,TRUE,0.22,FALSE,0,FALSE,FALSE,0,0,FALSE,0.09,FALSE,,30/06/2024,v1.0
P000106,C000391,53,M,Divorced,2,ES,Low,Whole,256000,365.16,Quarterly,29/08/2019,12/06/2028,107,8,Online,,FALSE,,TRUE,1,FALSE,FALSE,0,3,TRUE,-0.14,TRUE,Price,30/06/2024,v1.0
P000107,C001698,42,F,Single,1,US,High,Term,122000,115.01,Monthly,11/09/2018,,70,5,Agent,A1087,FALSE,,FALSE,0,FALSE,FALSE,0,1,FALSE,0.07,FALSE,,30/06/2024,v1.0
P000108,C000418,32,M,Married,0,US,Mid,Term,143000,105.17,Quarterly,15/06/2019,,61,5,Agent,A1002,TRUE,0.25,TRUE,1,FALSE,FALSE,0,0,FALSE,0.01,FALSE,,30/06/2024,v1.0
P000109,C002336,59,M,Married,0,US,Mid,Universal,61000,72.75,Monthly,18/05/2023,,13,1,Bank,,FALSE,,FALSE,0,FALSE,FALSE,0,0,FALSE,-0.04,FALSE,,30/06/2024,v1.0
P000110,C000378,33,M,Single,1,UK,Low,Term,14000,8.99,Monthly,19/02/2017,,89,7,Agent,A1076,FALSE,,FALSE,0,FALSE,FALSE,0,3,FALSE,0.14,FALSE,,30/06/2024,v1.0
P000111,C001796,64,M,Married,0,IT,Low,Term,137000,96.5,Monthly,07/06/2015,,110,9,Agent,A1056,FALSE,,FALSE,0,FALSE,FALSE,2,2,FALSE,0.06,FALSE,,30/06/2024,v1.0
P000112,C002278,41,M,Widowed,0,IT,High,Term,75000,49.94,Annual,29/04/2014,,123,10,Online,,FALSE,,TRUE,2,FALSE,TRUE,0,2,FALSE,0.08,FALSE,,30/06/2024,v1.0
P000113,C002088,64,M,Widowed,1,UK,Mid,Term,82000,56.6,Quarterly,05/11/2012,,141,11,Agent,A1093,TRUE,0.23,TRUE,1,FALSE,TRUE,1,5,FALSE,0.01,FALSE,,30/06/2024,v1.0
P000114,C002182,53,M,Single,1,US,Low,Term,79000,64.26,Monthly,13/09/2015,,107,8,Agent,A1068,TRUE,0.07,FALSE,0,FALSE,FALSE,0,0,FALSE,0.14,FALSE,,30/06/2024,v1.0
P000115,C000200,43,U,Single,1,FR,Low,Term,292000,165.35,Quarterly,27/12/2020,06/11/2024,47,3,Online,,TRUE,0.13,FALSE,0,FALSE,FALSE,0,1,FALSE,0.02,TRUE,Price,30/06/2024,v1.0
P000116,C001863,38,U,Widowed,0,US,,Term,319000,255.61,Monthly,30/07/2017,,84,7,Online,,FALSE,,FALSE,0,FALSE,FALSE,1,1,FALSE,-0.04,FALSE,,30/06/2024,v1.0
P000117,C000779,40,M,Married,2,ES,,Universal,190000,273.63,Monthly,31/08/2012,,144,12,Online,,FALSE,,FALSE,0,FALSE,FALSE,0,2,FALSE,0.06,FALSE,,30/06/2024,v1.0
P000118,C002977,50,F,Single,0,US,High,Whole,167000,191.59,Monthly,23/08/2012,,144,12,Employer,,TRUE,0.21,TRUE,1,FALSE,TRUE,0,2,FALSE,0.06,FALSE,,30/06/2024,v1.0
P000119,C000502,45,M,Married,0,UK,Mid,Whole,265000,365.34,Monthly,27/02/2017,,89,7,Agent,A1062,FALSE,,TRUE,1,FALSE,FALSE,1,1,FALSE,-0.05,FALSE,,30/06/2024,v1.0
